league,year,position,team,matches,scored,conceded,pts,xG,xGA,pressure,oppo_pressure,xpts,pts_per_game
Serie_A,2019,5,Roma,38,77,51,70,78.31580199999999,49.15022600000001,11.654481647521402,14.162294075589068,70.26170000000002,1.8421052631578947
Ligue_1,2014,1,Paris Saint Germain,38,83,36,83,78.41992999999998,28.240364100000004,7.13379441471891,16.841498904446127,84.10419999999999,2.1842105263157894
Ligue_1,2015,1,Paris Saint Germain,38,102,19,96,86.20095099999999,24.3654916,6.688799009443642,20.32503921436613,90.27479999999996,2.526315789473684
Ligue_1,2016,1,Monaco,38,107,31,95,76.03698,34.89362799999999,9.587802849671652,12.331291032397743,78.0559,2.5
Ligue_1,2016,2,Paris Saint Germain,38,83,27,87,82.16239900000002,24.247968,8.026454336163468,20.293990931161503,87.2195,2.289473684210526
Ligue_1,2017,1,Paris Saint Germain,38,108,29,93,89.92429600000003,32.0967107,8.232706922297405,17.294540802228283,84.6069,2.4473684210526314
Ligue_1,2018,1,Paris Saint Germain,38,105,35,91,95.34405999999998,36.7824048,7.785468251157264,18.94767199602274,86.0429,2.3947368421052633
Ligue_1,2019,1,Paris Saint Germain,27,75,24,68,76.41905500000001,22.434996000000005,7.460972444976336,21.270464529529228,65.67940000000002,2.5185185185185186
La_liga,2014,1,Barcelona,38,110,21,94,102.98015200000002,28.44429270000001,5.683534703382723,16.367592989090525,94.08129999999998,2.473684210526316
La_liga,2015,1,Barcelona,38,112,29,91,113.59827,34.029090100000005,6.012151909468335,15.064389542698626,94.37999999999998,2.3947368421052633
La_liga,2016,1,Real Madrid,38,106,41,93,90.86640999999996,36.862559,9.74243924598858,13.407533416463902,86.1701,2.4473684210526314
La_liga,2016,2,Barcelona,38,116,37,90,93.55159400000002,31.315663300000004,6.702330217409409,15.710111355512122,87.95349999999999,2.3684210526315788
La_liga,2017,1,Barcelona,38,99,29,93,90.48675199999995,41.62082,9.10988260533254,13.939373439479969,79.43750000000003,2.4473684210526314
La_liga,2017,3,Real Madrid,38,94,44,76,91.28737,45.097867999999984,9.30338211909132,13.999744400887844,79.9894,2.0
La_liga,2018,1,Barcelona,38,90,36,87,83.279534,44.93094999999999,9.015263901517136,16.404884844687324,73.96039999999999,2.289473684210526
La_liga,2019,1,Real Madrid,38,70,25,87,72.15721800000003,33.146266,9.262201903346336,14.476896911683774,77.6868,2.289473684210526
